ref,name_zh,name_en,mc_x,mc_z,layer,lat,lon
A1,台北車站,Taipei main station,-317,-271,,25.0487037,121.5143449
A10,山鼻,Shanbi,-23488,-3759,,25.0808055,121.2847775
A11,坑口,Kengkou,-25348,-4385,,25.0864909,121.2663561
A12,機場第一航廈,Airport Terminal 1,-28167,-3716,,25.080498,121.2383976
A13,機場第二航廈,Airport Terminal 2,-28785,-3352,,25.0772273,121.2322564
A14a,機場旅館,Airport Hotel,-29957,-2459,,25.0691793,121.2206257
A15,大園,Dayuan,-30961,-977,,25.0558139,121.2106496
A16,橫山,Hengshan,-30439,1163,,25.0364919,121.2157962
A17,領航,Linghang,-29902,2534,,25.0241007,121.2210937
A18,高鐵桃園站,Taoyuan HSR Station,-30602,3685,,25.0137163,121.2141381
A19,桃園體育園區,Taoyuan Sports Park,-31697,5013,,25.0017441,121.2032715
A2,三重,Sanchong,-3501,-920,,25.0546641,121.482813
A20,興南,Xingnan,-30364,7416,,24.9800328,121.2164356
A21,環北,Huanbei,-29921,8840,,24.9671663,121.2208004
A22,老街溪,Laojie River,-30064,9792,,24.9585814,121.2193715
A3,新北產業園區,New Taipei Industrial Park,-5912,-1691,,25.061706,121.4589414
A4,新莊副都心,Xinzhuang Fuduxin,-7238,-1411,,25.05921,121.4457893
A5,泰山,Taishan,-7865,-750,,25.0532646,121.4395522
A6,泰山貴和,Taishan Guihe,-9532,1462,,25.0333454,121.4229634
A7,體育大學,National Taiwan Sport University,-13324,588,,25.0413317,121.3854083
A8,長庚醫院,Chang Gung Memorial Hospital,-14805,-1528,,25.0604744,121.3707965
A9,林口,Linkou,-15751,-2113,,25.0657846,121.3614372
BL01,頂埔,Dingpu,-9859,9616,,24.9597337,121.4194769
BL02,永寧,Yongning,-8166,8820,,24.9668719,121.4362698
BL03,土城,Tucheng,-7348,8119,,24.9731817,121.444391
BL04,海山,Haishan,-6909,6773,,24.9853177,121.4487858
BL05,亞東醫院,Far Eastern Hospital,-6552,5420,,24.9975221,121.4523632
BL06,府中,Fuzhong,-5858,4172,,25.0087697,121.4592803
BL07,板橋,Banqiao,-5486,3536,,25.0144988,121.462992
BL08,新埔,Xinpu,-4953,2542,,25.0234603,121.4683057
BL09,江子翠,Jiangzicui,-4504,1769,,25.0304238,121.4727783
BL10,龍山寺,Longshan Temple,-1801,1221,,25.0352844,121.4995813
BL13,善導寺,Shandao Temple,601,162,,25.0447619,121.5234226
BL14;O07,忠孝新生,Zhongxiao Xinsheng,1552,432,,25.04229,121.5328383
BL16,忠孝敦化,Zhongxiao Dunhua,3232,512,,25.0415086,121.549479
BL17,國父紀念館,Sun Yat-Sen Memorial Hall,4030,527,,25.0413418,121.5573918
BL18,市政府,Taipei City Hall,4909,547,,25.0411283,121.5660998
BL19,永春,Yongchun,5878,571,,25.0408761,121.5757045
BL20,後山埤,Houshanpi,6544,140,,25.0447413,121.5823224
BL21,昆陽,Kunyang,7651,-502,,25.0504897,121.5933161
BL22,南港,Nangang,9050,-685,,25.0520905,121.607192
BL23,南港展覽館,Taipei Nangang Exhibition Center,10061,-964,,25.0545687,121.6172189
BR01,動物園,Taipei Zoo,6276,5283,,24.9983168,121.5794478
BR02,木柵,Muzha,5644,5294,,24.9982458,121.5731834
BR03,萬芳社區,Wanfang Community,5133,5256,,24.9986089,121.5681226
BR04,萬芳醫院,Wanfang Hospital,4125,5169,,24.9994306,121.558138
BR05,辛亥,Xinhai,4013,4499,,25.0054814,121.5570598
BR06,麟光,Linguang,4193,3063,,25.0184395,121.5589054
BR07,六張犁,Liuzhangli,3607,2470,,25.0238183,121.5531211
BR08,科技大樓,Technology Building,2631,2221,,25.0261012,121.5434596
BR09;R05,大安,Daan,2637,1420,,25.0333294,121.5435546
BR10;BL15,忠孝復興,Zhongxiao Fuxing,2655,510,,25.0415409,121.5437706
BR11;G16,南京復興,Nanjing Fuxing,2671,-630,,25.051836,121.5439651
BR12,中山國中,Zhongshan Junior High School,2690,-1610,,25.0606868,121.5442019
BR13,松山機場,Songshan Airport,3437,-1879,,25.063086,121.5516137
BR14,大直,Dazhi,3009,-3736,,25.0798652,121.5474402
BR15,劍南路,Jiannan Road,3835,-4292,,25.0848493,121.5556531
BR16,西湖,Xihu,5013,-4002,,25.0821916,121.5673156
BR17,港墘,Gangqian,5809,-3771,,25.0800727,121.5752034
BR18,文德,Wende,6792,-3607,,25.0785562,121.5849416
BR19,內湖,Neihu,7723,-4158,,25.0834972,121.5941892
BR20,大湖公園,Dahu Park,8545,-4191,,25.0837613,121.602341
BR21,葫洲,Huzhou,9057,-2961,,25.0726385,121.6073633
BR22,東湖,Donghu,9488,-2385,,25.0674198,121.6116099
BR23,南港軟體園區,Nangang Software Park,9924,-1559,,25.0599458,121.6158969
